%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                               
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                 
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                  
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                    
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%   %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                      
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%      %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                        
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%        %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                          
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%            %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                             
%%%%%%%%%%%%%%%%%%%%%%%%%%%%               %%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                               
%%%%%%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%%%%%%%%%%%%%%%                                                                                  
%%%%%%%%%%%%%%%%%%%%%                       %%%%%%%%%%%%%%%%%%%%%%%                                                                                    
  %%%%%%%%%%%%%%%                            %%%%%%%%%%%%%%%%%%%                                                                                       
        %                                        %%%%%%%%%                                                                                             
                                                                                                                                                       
                                                                                                                                                       
                                                                                                                                                       
                                                                                                                                                       
                                                                                                                                                       
                                                                                                                             %%%%%%                    
                                                                                                             %%%%         %%%%%%%%%%                   
                                                                                                          %%%%%%%%       %%%%%%%%%%%                   
                                                                                                       %%%%%%%%%%%     %%%%%%%%%%%%%                   
                                                                                                     %%%%%%%%%%%%     %%%%%%%%%%%%%                    
                                                                                                    %%%%%%%%%%%%     %%%%%%%%%%%%%%                    
                                                                                                  %%%%%%%%%%%%       %%%%%%%%%%%%%                     
                                                                                                %%%%%%%%%%%%%       %%%%%%%%%%%%                       
                                                                                              %%%%%%%%%%%%% .....    %%%%%%%%%                         
                                                                                             %%%%%%%%%%%% ......     %%%%%%%                           
                                                                                           %%%%%%%%%%%% ........                                       
                                                                                         %%%%%%%%%%   ........                                         
                                                                                        %%%%%%%%%    .......                                           
                                                                                       %%%%%%        ....                                              
                                                                                     %%%%           ..                                                 
                                                                                                           %%%%%%                                      
                                                                                                         %%%%%%%                                       
                                                                                                       %%%%%%%%%                                       
                                                                                                    %%%%%%%%%%%                                        
                                                                                                   %%%%%%%%%%%                                         
                                                                                                 %%%%%%%%%%%                                           
                                                                                               %%%%%%%%%%%%                                            
P                                                                                            %%%%%%%%%%%                                               
                                                              %%%%                          %%%%%%%%%%                                                 
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
                                               %%%%%%%%%%%%                                                                                            
                                             %%%%%%%%%%%%                                                                                              
                                           %%%%%%%%%%%%%                                                                                               
                                         %%%%%%%%%%%%%                                                                                                 
                                        %%%%%%%%%%%%                                                                                                   
                                       %%%%%%%%%%%                                                                                                     
                                      %%%%%%%%%%                                                                                                       
                                     %%%%%%%%%  ...                                                                                                    
                                     %%%%%   ......                                                                                                    
                                           ......             %                                                                                        
                                         .......         %%%%%%                                                                                        
                                       .......       %%%%%%%%%                                                                                         
                                       .....       %%%%%%%%%                                 %%%%%%%%%                                        %        
                              %%       ..       %%%%%%%%%%%                            %%%%%%%%%%%%%%%%%%%                            %%%%%%%%%%%%%%%  
                          %%%%%%%%%           %%%%%%%%%%%                           %%%%%%%%%%%%%%%%%%%%%%%                       %%%%%%%%%%%%%%%%%%%%%
                        %%%%%%%%%%%         %%%%%%%%%%%                           %%%%%%%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%%%%%%%%%%%%%%
                       %%%%%%%%%%%%       %%%%%%%%%%%%                         %%%%%%%%%%%%%%%%%%%%%%%%%%%%%               %%%%%%%%%%%%%%%%%%%%%%%%%%%%
                     %%%%%%%%%%%%%       %%%%%%%%%%%                         %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%            %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
                    %%%%%%%%%%%%%       %%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%        %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
                    %%%%%%%%%%%%       %%%%%%%%                         %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%      %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
